PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_NAME
1629027,2018-19,00,1610612737,ATL,20.0,81,81,2503.0,525,1256,0.418,156,482,0.324,343,414,0.829,64,237,301,653,72,15,308,140,1549,Trae Young
1629027,2019-20,00,1610612737,ATL,21.0,60,60,2120.0,546,1249,0.437,205,568,0.361,481,559,0.86,32,223,255,560,65,8,289,104,1778,Trae Young
1629027,2020-21,00,1610612737,ATL,22.0,63,63,2125.0,487,1112,0.438,136,397,0.343,484,546,0.886,38,207,245,594,53,12,261,111,1594,Trae Young
1629027,2021-22,00,1610612737,ATL,23.0,76,76,2652.0,711,1544,0.46,233,610,0.382,500,553,0.904,50,234,284,737,72,7,303,128,2155,Trae Young
1629027,2022-23,00,1610612737,ATL,24.0,73,73,2541.0,597,1390,0.429,154,460,0.335,566,639,0.886,56,161,217,741,80,9,300,104,1914,Trae Young
1629027,2023-24,00,1610612737,ATL,25.0,54,54,1942.0,433,1008,0.43,175,469,0.373,348,407,0.855,23,126,149,583,72,11,235,109,1389,Trae Young
1629027,2024-25,00,1610612737,ATL,26.0,76,76,2739.0,566,1376,0.411,218,642,0.34,491,561,0.875,36,200,236,880,91,12,355,145,1841,Trae Young
1641766,2023-24,00,1610612741,CHI,22.0,9,0,66.0,14,27,0.519,0,0,0.0,8,12,0.667,19,17,36,0,1,0,5,5,36,Adama Sanogo
1641766,2024-25,00,1610612741,CHI,23.0,4,0,22.0,4,7,0.571,0,0,0.0,0,0,0.0,5,1,6,1,0,0,1,1,8,Adama Sanogo
1641772,2024-25,00,1610612739,CLE,24.0,5,1,63.0,13,32,0.406,2,10,0.2,8,11,0.727,9,12,21,2,0,1,2,9,36,Nae'Qwan Tomlin
1641754,2023-24,00,1610612737,ATL,24.0,9,0,52.0,4,17,0.235,3,13,0.231,3,4,0.75,1,6,7,0,0,0,1,6,14,Seth Lundy
1628371,2017-18,00,1610612753,ORL,20.0,27,10,535.0,55,145,0.379,16,46,0.348,19,25,0.76,16,83,99,18,33,30,27,48,145,Jonathan Isaac
1628371,2018-19,00,1610612753,ORL,21.0,75,64,1996.0,262,611,0.429,86,266,0.323,110,135,0.815,99,312,411,80,59,98,75,143,720,Jonathan Isaac
1628371,2019-20,00,1610612753,ORL,22.0,34,32,980.0,156,332,0.47,32,94,0.34,60,77,0.779,58,173,231,48,53,78,49,83,404,Jonathan Isaac
1628371,2022-23,00,1610612753,ORL,25.0,11,0,124.0,22,53,0.415,6,15,0.4,5,9,0.556,15,29,44,6,14,4,4,5,55,Jonathan Isaac
